username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
Kevin ODonnell Fox13,ODonnellFox13,2018-03-05 19:53,22,72,"Behind the scenes at @SouthwestAir with #Lightning players Dan Girardi and Anton Stralman at @FlyTPA @TBLightning pic.twitter.com/081eR3JX0n",,@SouthwestAir @FlyTPA @TBLightning,#Lightning,"970794519389245440",https://twitter.com/ODonnellFox13/status/970794519389245440
Amy Mackreth,A_Mackreth,2018-03-05 18:17,8,23,"Packed house in @SouthwestAir and @alteryx session at #GartnerDA today! Thanks Doug Gray for sharing your stories with #AlteryxAnalytics #DataAnalytics pic.twitter.com/GuN2epL3hx",,@SouthwestAir @alteryx,#GartnerDA #AlteryxAnalytics #DataAnalytics,"970770388312580096",https://twitter.com/A_Mackreth/status/970770388312580096
Tampa Bay Lightning,TBLightning,2018-03-05 17:21,26,177,"Thank you to our friends at @SouthwestAir and @flytpa for an awesome day today helping travelers! Head over to tblightning on Instagram to check it out. pic.twitter.com/ucI0j4WPqA",,@SouthwestAir @flytpa,,"970756175565414406",https://twitter.com/TBLightning/status/970756175565414406
AirlineGeeks.com,AirlineGeeks,2018-03-05 16:18,13,56,". @SouthwestAir , one of the few airlines that operates an all-Boeing 737 fleet, will take delivery of the 10,000th 737 in the coming weeks. http:// bit.ly/2FM105s pic.twitter.com/VqUrxpuRTk",,@SouthwestAir,,"970740232005005313",https://twitter.com/AirlineGeeks/status/970740232005005313
em | inactive,stryofanothervs,2018-03-05 15:40,4,7,"Enter with this link to win access to the @5SOS @SouthwestAir #SoundStage http:// ul.ink/BG8W-50FDTW_T @POWERATL !!",,@5SOS @SouthwestAir @POWERATL,#SoundStage,"970730804191088640",https://twitter.com/stryofanothervs/status/970730804191088640
Tampa Bay Lightning,TBLightning,2018-03-05 15:15,29,214,"We’re with some brand new @SouthwestAir employees at @flytpa this afternoon... Peep our Instagram Story (tblightning) for more! pic.twitter.com/wIvTUeVwFp",,@SouthwestAir @flytpa,,"970724374713073665",https://twitter.com/TBLightning/status/970724374713073665
Tampa Intl Airport ✈️,FlyTPA,2018-03-05 15:09,12,57,"Our friends at @SouthwestAir are getting a little extra help today from @TBLightning players Dan Girardi and Anton Stralman! #GoBolts pic.twitter.com/xkO4VHnP1z – at Tampa International Airport (TPA)",,@SouthwestAir @TBLightning,#GoBolts,"970723078257938433",https://twitter.com/FlyTPA/status/970723078257938433
Harvard Biz Review,HarvardBiz,2018-03-05 15:07,11,12,"Register and download a free chapter from our upcoming book Conscious Capitalism Field Guide. Learn how @WholeFoods , @SouthwestAir , @Lifeisgood , and many others are transforming their organizations through the principles of conscious leadership. https:// trib.al/zGrXrTX",,@WholeFoods @SouthwestAir @Lifeisgood,,"970722445496934400",https://twitter.com/HarvardBiz/status/970722445496934400
Tampa Intl Airport ✈️,FlyTPA,2018-03-05 12:55,29,116,"This afternoon, a few of the @TBLightning players will be trading places with our @SouthwestAir employees to give a true Tampa Bay experience! Try not to get too starstruck. pic.twitter.com/mLNWT97Txb",,@TBLightning @SouthwestAir,,"970689225950625793",https://twitter.com/FlyTPA/status/970689225950625793
NFCA,NFCAorg,2018-03-05 12:20,9,59,"Pretty neat for the @NFCAorg team to be flying @SouthwestAir on the first leg of our journey back to our Louisville HQ with the No. 1 team in the country and champs of our @NCAADIII Leadoff, @VWUSOFTBALL , who received a well-deserved round of applause on the plane. pic.twitter.com/F0nAJicNdS",,@NFCAorg @SouthwestAir @NCAADIII @VWUSOFTBALL,,"970680376841486336",https://twitter.com/NFCAorg/status/970680376841486336
SIUeSoftball,SIUeSoftball,2018-03-05 12:13,3,40,"THANK YOU @SouthwestAir for getting Alana on our flight to play the University of Kentucky!! Looking good in that SIUE softball hat! @SIUECougars pic.twitter.com/GsG5xOmRbz",,@SouthwestAir @SIUECougars,,"970678631361073161",https://twitter.com/SIUeSoftball/status/970678631361073161
