username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink,col1,col2,col3
Annie E. Clark,aelizabethclark,2018-05-20 14:57,0,9,"Thanks be for the kindness of strangers helping @andreactually and me make our @AmericanAir flight today, including Amy we met on the train! I do believe that people are truly good. #itsthelittlethings #goodnews",,@andreactually @AmericanAir,#itsthelittlethings #goodnews,"9,98261463142678E+017",https://twitter.com/aelizabethclark/status/998261463142678528,,,
Jennifer Tombaugh,TauckJennifer,2018-05-20 12:05,1,8,Have I mentioned how much I love @Bradley_Airport ? Curbside to gate in less than 5 minutes! #TSAPrecheck #Tauck @AmericanAir,,@Bradley_Airport @AmericanAir,#TSAPrecheck #Tauck,"9,98218042248237E+017",https://twitter.com/TauckJennifer/status/998218042248237056,,,
Paloma Hecht,palomahecht,2018-05-20 11:41,5,11,"I brought a carry on bag and they made me check it It’s a curse! Please @AmericanAir don’t leave my bag at thr Miami layover, please take it safe and sound to Guatemala Don’t wanna go thru lost bags again ( LAX AA 275 - MIA 2432 )",,@AmericanAir,,"9,98212238501597E+017",https://twitter.com/palomahecht/status/998212238501597186,,,
Michael Schneider,schneider,2018-05-20 10:41,2,4,Damn @elonmusk would love to have Teslas replace airport tarmac infrastructure / especially the horrible @AmericanAir bus at LAX to their remote terminal. Cc @peterpham @ZachJames https:// twitter.com/cnn/status/998 080884371869696 …,,@elonmusk @AmericanAir @peterpham @ZachJames,,"9,98197022342574E+017",https://twitter.com/schneider/status/998197022342574081,,,
Alvin Kamara,A_kamara6,2018-05-20 10:14,4,26,Burger King be right next to McDonald’s. Ya shmelllll me?! Lol,,,,"9,98190242455794E+017",https://twitter.com/A_kamara6/status/998190242455793665,,,
Secret Flying,SecretFlying,2018-05-20 09:10,7,7,SUMMER: Chicago or Washington DC to Australian cities from only $845 roundtrip with @AmericanAir & @Qantas . https://www. secretflying.com/posts/chicago- or-washington-dc-to-australian-cities-from-only-845-roundtrip/ … pic.twitter.com/WTNNFqwM32,,@AmericanAir @Qantas,,"9,98174189969395E+017",https://twitter.com/SecretFlying/status/998174189969395712,,,
Rodner Figueroa,RodnerFigueroa,2018-05-20 05:52,7,136,Hope @americanair pampers me from London to Miami!!! So tired but happy!!! #rodnerfigueroa pic.twitter.com/fKj16oLGeB,,@americanair,#rodnerfigueroa,"9,98124167781405E+017",https://twitter.com/RodnerFigueroa/status/998124167781404672,,,
Benji Stawski,BenjiStawski,2018-05-20 03:47,1,23,New York bound onboard @AmericanAir ’s A321T pic.twitter.com/R7m9IB02MP,,@AmericanAir,,"9,98092880404075E+017",https://twitter.com/BenjiStawski/status/998092880404074496,,,
YOUNG MINOR THREAT,GERMJEEZUS,2018-05-20 01:07,37,321,JUST MISSED MY GODDAMN FLIGHT @AmericanAir FUCKIN TRASH DA BALD HEAD NIGGA AT YALL GATE NEEDS MY FADE BUT HE TYPE SCARY,,@AmericanAir,,"9,9805252166187E+017",https://twitter.com/GERMJEEZUS/status/998052521661870081,,,
soren,sorenbryce,2018-05-20 00:06,2,51,"caught wind that @AmericanAir is playing my song on their flights, i'm so glad that i could depress you all before you take that vacation you've worked so hard for !!/!",,@AmericanAir,,"9,98037273269678E+017",https://twitter.com/sorenbryce/status/998037273269678080,,,
Andrea Huguely,andreahuguely,2018-05-19 23:47,0,25,"It’s a GLORIOUS day, I’ve reached revenue upgrade status on @AmericanAir so weird after all the years of non-revving.",,@AmericanAir,,"9,9803244575155E+017",https://twitter.com/andreahuguely/status/998032445751549952,,,
Woodys Aeroimages,AeroimagesChris,2018-05-19 23:01,4,22,6970 1B111 44452 N321RL 737-8 @AmericanAir #737MAX pic.twitter.com/z5L4A7fsTc,,@AmericanAir,#737MAX,"9,98020891073167E+017",https://twitter.com/AeroimagesChris/status/998020891073167360,,,
Pam (is probably playing MtG),NerdyPam,2018-05-19 18:35,3,22,I don’t doubt if Roque has been white this would have gone differently. @AmericanAir needs to train employees to deal with racism differently than normal tiffs between passengers. https:// twitter.com/roqueaneto/sta tus/997951880029507585 …,,@AmericanAir,,"9,97953836139495E+017",https://twitter.com/NerdyPam/status/997953836139495425,,,
Matt Whisner,WizIndy,2018-05-19 16:55,2,23,Total geeked out again. This time with a tour of the @AmericanAir @Boeing 787 Dreamliner cockpit before leaving @HeathrowAirport . Absolutely speechless. Thanks fellas! @cyndeewthr @JuliaMoffitt13 pic.twitter.com/CqUr95IzEe,,@AmericanAir @Boeing @HeathrowAirport @cyndeewthr @JuliaMoffitt13,,"9,97928726301217E+017",https://twitter.com/WizIndy/status/997928726301216770,,,
Carlos Diaz,CarlosWTHR,2018-05-19 15:11,1,36,"Wherever #WTHRSunrise goes, it’s a party!! Now that the Royal Wedding is over, it’s time to head home on @AmericanAir & our crew is ready to have fun with their crew! #13AtTheRoyalWedding @WTHRcom pic.twitter.com/EoThlI7AYQ",,@AmericanAir @WTHRcom,#WTHRSunrise #13AtTheRoyalWedding,"9,97902507128115E+017",https://twitter.com/CarlosWTHR/status/997902507128115202,,,
Julia Moffitt,JuliaMoffitt13,2018-05-19 15:09,1,45,Such an AWESOME @AmericanAir Crew to wrap up our @WTHRcom #13ATheRoyalWedding coverage in London! @BenHill_WTHR @ChuckWTHR @CarlosWTHR @WizIndy @cyndeewthr @Grabes10 @shelbycam78 pic.twitter.com/aYQyajfBYU – at Gate M2,,@AmericanAir @WTHRcom @BenHill_WTHR @ChuckWTHR @CarlosWTHR @WizIndy @cyndeewthr @Grabes10 @shelbycam78,#13ATheRoyalWedding,"9,97901998015033E+017",https://twitter.com/JuliaMoffitt13/status/997901998015033349,,,
IBM Cloud,IBMcloud,2018-05-19 15:04,18,25,"When Hurricane Irma impacted travelers, @AmericanAir quickly responded to their needs, thanks to a new dynamic rebooking tool created with the help of #IBMCloud : https:// ibm.co/2GtONRC pic.twitter.com/h5yvuJYkwz",,@AmericanAir,#IBMCloud,"9,97900800331534E+017",https://twitter.com/IBMcloud/status/997900800331534336,,,
Bob Muyskens 🆒,muyskerm,2018-05-19 14:23,8,663,"I have to give props to @AmericanAir . Reached out to them to resolve an issue with a flight and their customer service team was so good. Responded immediately. Offered me a perfect solution. Thanks so much for your help, 10/10!",,@AmericanAir,,"9,97890430632153E+017",https://twitter.com/muyskerm/status/997890430632153089,,,
Kristopher J Turner,kristopherj,2018-05-19 13:18,1,22,"Thanks you Minnesota and @mmsmoa for a good time! Great state but I miss my wife, kids, cows, donkeys, chickens, dogs and the cat, yes even the cat! Texas bound and soon to be home! @AmericanAir #MMSMOA",,@mmsmoa @AmericanAir,#MMSMOA,"9,97874092572381E+017",https://twitter.com/kristopherj/status/997874092572381193,,,
IBM,IBM,2018-05-19 12:53,243,470,"On this day in 1961, IBM and @AmericanAir announced SABRE, the electronic reservation system that revolutionized the travel industry. Learn how we're partnering with American Airlines today: https:// ibm.co/2IwB16q pic.twitter.com/ABYBDTIwAh",,@AmericanAir,,"9,97867736305979E+017",https://twitter.com/IBM/status/997867736305979392,,,
Ryan Ewing,FlyingHighRyan,2018-05-19 11:42,3,46,A rainy morning for an @AmericanAir Honor Flight. #HonorFlightDCA pic.twitter.com/f0PTZzNDOV,,@AmericanAir,#HonorFlightDCA,"9,9784989864405E+017",https://twitter.com/FlyingHighRyan/status/997849898644049920,,,
WarlicksWarriors,warlickswarrior,2018-05-19 11:12,6,12,"Thank you @CBSDFW for sharing our story and bringing awareness to @AnswerALS and ALS. There is hope and it’s stood up by incredible support from the aviation industry, @AmericanAir & extraordinary science. http:// dfw.cbslocal.com/2018/05/18/gro undbreaking-research-in-north-texas-seeks-cure-for-als/ …",,@CBSDFW @AnswerALS @AmericanAir,,"9,97842447404339E+017",https://twitter.com/warlickswarrior/status/997842447404339200,,,
JT Genter,JTGenter,2018-05-19 10:24,0,13,"Props to the @AmericanAir FA for shutting down the complaints from an economy pax that a first class pax ""cut [her] in line"" for the first class bathroom. The situation isn't helped by the FA still not having closed the curtain this flight.",,@AmericanAir,,"9,97830256298951E+017",https://twitter.com/JTGenter/status/997830256298950656,,,
AnswerALS,AnswerALS,2018-05-19 10:04,3,5,"Today is the LAST day to win a chance to hang out w @PearlJam in Barcelona July 10th! Join PJ & @TeamGleason in the fight against ALS! $10 to see PJ live, meet @MikeMcCreadyPJ & band members, fly round trip on @AmericanAir & 3 night stay! You can win! https://www. crowdrise.com/o/en/campaign/ pearljambarcelona …",,@PearlJam @TeamGleason @MikeMcCreadyPJ @AmericanAir,,"9,97825395088126E+017",https://twitter.com/AnswerALS/status/997825395088125953,,,
Kevin Kurz,KKurzNHL,2018-05-18 23:58,1,30,"Reward miles on @AmericanAir are such a scam. Like, great, I can book a flight from Toronto to Philly for 15k miles…and oh, by the way, get to the checkout screen and that’s still gonna cost $125.",,@AmericanAir,,"9,97672859299234E+017",https://twitter.com/KKurzNHL/status/997672859299233792,,,
Kelly,K2Runs,2018-05-18 21:41,2,19,"7A may be my regular but I'm with the occasional st class upgrade , especially when it's Friday night and it comes with before . Thanks @AmericanAir , now take me ! @DFWAirport , I'll be to you! pic.twitter.com/w9YRI8lLfp",,@AmericanAir @DFWAirport,,"9,97638365343289E+017",https://twitter.com/K2Runs/status/997638365343289344,,,
