username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink,col1,col2,col3
Secret Flying,SecretFlying,2018-08-06 19:48,7,17,"Chicago to Houston, Texas (& vice versa) for only $88 roundtrip with @AmericanAir . https://www. secretflying.com/posts/chicago- houston-vice-versa-96-roundtrip/ … pic.twitter.com/69cAo3UZvn",,@AmericanAir,,"1,02660088000989E+018",https://twitter.com/SecretFlying/status/1026600880009891841,,,
NH Economic Dev,NewHavenED,2018-08-06 19:29,8,13,We are very excited to see new commercial air service announced today by @AmericanAir between #CLT and #HVN . For New Haven's business community - and all of our air travelers - Charlotte connects @FlyTweed to another 150 destinations worldwide!,,@AmericanAir @FlyTweed,#CLT #HVN,"1,0265962359297E+018",https://twitter.com/NewHavenED/status/1026596235929702401,,,
Mike Sington,MikeSington,2018-08-06 19:19,1,12,. @WSJ asked CEO’s of the Big Three American airlines to sit in the cheap seats to see what it’s like. @AmericanAir CEO (left) and @Delta CEO (right) agreed; @united CEO refused. They’re smiling. It should be noted however there were no passengers next to them or crying babies. pic.twitter.com/gtAHGvALBy,,@WSJ @AmericanAir @Delta @united,,"1,02659360004859E+018",https://twitter.com/MikeSington/status/1026593600048586752,,,
MLT Org,MLTOrg,2018-08-06 19:01,2,14,"A big thank you to all of our business school & corporate partners who attended the MBA Prep seminar, hosted by @YaleSOM , this past weekend! #MLTYaleSOM @Bridgewater @CloroxCo @pgcareers @AmericanAir @BabsonGraduate @BerkeleyHaas @BUQuestrom @ChicagoBooth @Columbia_Biz",,@YaleSOM @Bridgewater @CloroxCo @pgcareers @AmericanAir @BabsonGraduate @BerkeleyHaas @BUQuestrom @ChicagoBooth @Columbia_Biz,#MLTYaleSOM,"1,02658911053695E+018",https://twitter.com/MLTOrg/status/1026589110536945664,,,
airfarewatchdog,airfarewatchdog,2018-08-06 17:47,8,20,"Flights to #China as low as $394RT on @AmericanAir . Travel August through November, and again from January through March. https:// bit.ly/2M6rTq5 #Atlanta #Seattle #Portland #SaltLakeCity #Minneapolis #airfare #flights pic.twitter.com/UW8mL1oxzk",,@AmericanAir,#China #Atlanta #Seattle #Portland #SaltLakeCity #Minneapolis #airfare #flights,"1,02657056672612E+018",https://twitter.com/airfarewatchdog/status/1026570566726123521,,,
Mike Mills,m_millsey,2018-08-06 16:06,3,18,The joy of air travel. @AmericanAir ridiculously poor customer service. https:// twitter.com/ajc/status/102 5820677058781186 …,,@AmericanAir,,"1,026545022471E+018",https://twitter.com/m_millsey/status/1026545022471000064,,,
Jordan Bonstrom,GordanJordan,2018-08-06 16:02,14,64,You can see the new scoreboard for the sky! @OSUAthletics @FlyStillwaterOK @AmericanAir @visitstillwater pic.twitter.com/RewEM1fioa,,@OSUAthletics @FlyStillwaterOK @AmericanAir @visitstillwater,,"1,02654414589087E+018",https://twitter.com/GordanJordan/status/1026544145890869248,,,
Mayor Marian Orr,gofishwyo,2018-08-06 15:34,3,13,"I believe air service to Cheyenne is critical, and beginning Nov 4 we will have it with daily flights to/from Dallas/Fort Worth. Welcome, @AmericanAir . This is how we grow our economy. @ENDOWyo @BloombergDotOrg https://www. wyomingnews.com/news/american- airlines-announces-dallas-fort-worth-service-to-cheyenne/article_f4cfee02-999e-11e8-b993-5bbcd4391992.html …",,@AmericanAir @ENDOWyo @BloombergDotOrg,,"1,02653703066516E+018",https://twitter.com/gofishwyo/status/1026537030665162752,,,
Secret Flying,SecretFlying,2018-08-06 14:50,4,11,"MEGA POST: US cities to Beijing or Shanghai, China from only $377 roundtrip with @AmericanAir . https://www. secretflying.com/posts/us-citie s-to-beijing-or-shanghai-china-from-only-377-roundtrip/ … pic.twitter.com/Ok7qo9vyD1",,@AmericanAir,,"1,02652598805278E+018",https://twitter.com/SecretFlying/status/1026525988052783105,,,
Connor Clancy,connorclancy7,2018-08-06 13:56,1,9,@AmericanAir you never seize to amaze me on how bad you guys are at your job. For a company so big you really do a terrible job moving people across the country on time. It’s incredible that you guys have been around for this long. Worst airline in the world hands down! Just bad!,,@AmericanAir,,"1,02651226259965E+018",https://twitter.com/connorclancy7/status/1026512262599651328,,,
Randall Gutermuth,RandyGOP,2018-08-06 12:40,1,19,What I love best about @AmericanAir is the ease of working in coach on a 6 hour flight. Getting to open my laptop half way is a luxury I thought was reserved for royalty and private planes. pic.twitter.com/traVTB64Vm,,@AmericanAir,,"1,0264932196543E+018",https://twitter.com/RandyGOP/status/1026493219654303744,,,
CBS4 Miami,CBSMiami,2018-08-06 12:36,6,10,#AmericanAirlines kicks musician with cello off plane in #Miami even though she paid for the extra seat. https:// cbsloc.al/2vFfwqZ @AmericanAir,,@AmericanAir,#AmericanAirlines #Miami,"1,0264923239565E+018",https://twitter.com/CBSMiami/status/1026492323956498432,,,
airfarewatchdog,airfarewatchdog,2018-08-06 12:16,7,17,#NYC #JFK to #Milan #MXP Italy $541RT Nonstop on @AmericanAir for September Travel https:// bit.ly/2AI9hs0 #airfare #flights pic.twitter.com/uANg30Ch63,,@AmericanAir,#NYC #JFK #Milan #MXP #airfare #flights,"1,0264871608436E+018",https://twitter.com/airfarewatchdog/status/1026487160843595777,,,
Girls Who Code,GirlsWhoCode,2018-08-06 12:05,16,104,It’s a bird! It’s a plane! Nope- it's Girls Who Code We hope their interests in STEM are soaring after their visit to @AmericanAir pic.twitter.com/q71eYBPNlA,,@AmericanAir,,"1,02648430296241E+018",https://twitter.com/GirlsWhoCode/status/1026484302962413574,,,
chich,chich,2018-08-06 10:58,1,12,Hello again @Reagan_Airport ! Off to @PHXSkyHarbor on @AmericanAir . pic.twitter.com/5KjLrQxesu,,@Reagan_Airport @PHXSkyHarbor @AmericanAir,,"1,02646764673954E+018",https://twitter.com/chich/status/1026467646739542016,,,
Matt Yanni,MYanni89,2018-08-06 10:57,2,19,Hey @AmericanAir you think you could put your seats a little closer on your planes? We might as well be sitting on each other’s lap. Why is this ok?? Oh btw thanks for that 3 hour delay for no reason. #myelbowisforsuregettinghitbyyourfoodtrayonwheels pic.twitter.com/7tiuYozCP0,,@AmericanAir,#myelbowisforsuregettinghitbyyourfoodtrayonwheels,"1,02646741557469E+018",https://twitter.com/MYanni89/status/1026467415574687744,,,
Alan Reinhart,NHRAReinhart,2018-08-06 10:54,0,31,"I feel like I'm cheating on @AmericanAir sitting an @AlaskaAir plane, but couldn't pass up the #NonStop SEA-TUS #LoveThisLife",,@AmericanAir @AlaskaAir,#NonStop #LoveThisLife,"1,02646661448341E+018",https://twitter.com/NHRAReinhart/status/1026466614483410948,,,
Michael Collins,ESPNCaddie,2018-08-06 09:58,5,153,"Why do I stay loyal to @AmericanAir ? When I got off the plane this morning I had a voicemail explaining why my bag didn’t make the plane, where it was, and when I was getting it. THAT is customer service. (See how that works @British_Airways )",,@AmericanAir @British_Airways,,"1,02645246218881E+018",https://twitter.com/ESPNCaddie/status/1026452462188806145,,,
ikendolo,ikendolo,2018-08-06 04:05,2,27,"What’s better than being stuck on a plane for 2 hours? Being stuck on a plane with no AC.. Thanks @AmericanAir , I now have a working theory of what hell is like",,@AmericanAir,,"1,02636365132471E+018",https://twitter.com/ikendolo/status/1026363651324706816,,,
Ev. Oliver Araiza,eoa897,2018-08-06 00:02,4,16,Officially on my way to the most unusual camp in America for young men. @ManCamp1994 #25yearanniversary #greenjv Nothing else like it! Using Football to teach the Christian Life. @AmericanAir @DFWAirport,,@ManCamp1994 @AmericanAir @DFWAirport,#25yearanniversary #greenjv,"1,02630256892064E+018",https://twitter.com/eoa897/status/1026302568920637441,,,
Johanna Carrillo💃🏻,yoyicarrillo,2018-08-06 18:44,0,7,My 8 year-old says this drawing shows how her heart is divided. Look closely @AmericanAir ! pic.twitter.com/3PptSEyxOo,,@AmericanAir,,"1,02658491700055E+018",https://twitter.com/yoyicarrillo/status/1026584917000548353,,,
Ryan Van Saun,r_van_saun,2018-08-06 16:29,1,5,@SouthwestAir cut the check for my boy Phil,,@SouthwestAir,,"1,02655075861797E+018",https://twitter.com/r_van_saun/status/1026550758617968640,,,
Johanna,C0nservativeGal,2018-08-06 15:58,1,6,"Thank you @AmericanAir for taking care of my damaged bag with no issue and crediting more then I had requested. Just pick up my suitcase from Macy’s! It was a pleasure flying American, one of the best airlines and they pay close attention to detail",,@AmericanAir,,"1,02654304747391E+018",https://twitter.com/C0nservativeGal/status/1026543047473913857,,,
Mike Dunphy,jackdunphy,2018-08-06 15:37,1,7,"Squeakiest wheel always gets the grease it seems. But your tactics to get this Butt-Smooching Service lack class and you step on people. But, that’s why you’re Mr.July for The All-Twitter Airline Complaint Team , leading candidate for 2018...awesome ain’t it? #ATACT #WatchListed",,,#ATACT #WatchListed,"1,02653767768701E+018",https://twitter.com/jackdunphy/status/1026537677687013376,,,
Taylert,Tayler_tjaden22,2018-08-06 15:20,0,9,"*flight gets delayed for 2 hours for no reason* @AmericanAir : “here’s a complimentary bag of peanuts” Thanks guys, thanks.",,@AmericanAir,,"1,02653350315497E+018",https://twitter.com/Tayler_tjaden22/status/1026533503154966528,,,
Deema Farsi,xodimaox,2018-08-06 13:51,1,6,I had an excellent experience on the phone with American Airlines @AmericanAir A represantitive called “Dawn” was professional and super pleasant! She raises the standard so high!,,@AmericanAir,,"1,02651100784439E+018",https://twitter.com/xodimaox/status/1026511007844392961,,,
Mark Brandon,Mark__Brandon,2018-08-06 13:38,1,8,VIDEO: @AmericanAir #second ever visit to @aeroportsMTL using their #new @Boeing #737Max ! This particular flight is departing to @iflymia as #AA1516 and this aircraft ( #N321RL ) was delivered about a month ago.. brand new! Video: https:// youtu.be/ks_JOta2A0w pic.twitter.com/ybSEGQny2d,,@AmericanAir @aeroportsMTL @Boeing @iflymia,#second #new #737Max #AA1516 #N321RL,"1,02650783628786E+018",https://twitter.com/Mark__Brandon/status/1026507836287864833,,,
Russ,Rhayky01,2018-08-06 13:14,4,33,I understand that mistakes happen but the ahole pilot doing the victory sign pisses me off. Just for the lack of respect from the pilot I will never fly American Airlines,,,,"1,02650168949334E+018",https://twitter.com/Rhayky01/status/1026501689493336067,,,
Sarah Rumpf,rumpfshaker,2018-08-06 13:07,1,7,"Thank you @AmericanAir for the upgrade to exit row! #hoorayforlegroom #tallgirlproblems (@Tallahassee International Airport in Tallahassee, FL) https://www. swarmapp.com/c/kac1w7k42VK",,@AmericanAir @Tallahassee,#hoorayforlegroom #tallgirlproblems,"1,02649999186143E+018",https://twitter.com/rumpfshaker/status/1026499991861428224,,,
Blake Robinson,BRob22,2018-08-06 12:58,1,6,Hey @AmericanAir I’m back from Vacation. I hope you are too,,@AmericanAir,,"1,02649765431291E+018",https://twitter.com/BRob22/status/1026497654312906758,,,
Jaime Santos,Jaime_ASantos,2018-08-06 11:50,2,5,"Great idea! BUT: Frequent flyer miles can be incredibly expensive to donate (almost as expensive as the tickets themselves). Would @AmericanAir , @united , @SouthwestAir , @JetBlue , @Delta , & @VirginAmerica agree to waive fees for donating miles for immigrant reunification efforts? https:// twitter.com/bethwilensky/s tatus/1026478893400842242 …",,@AmericanAir @united @SouthwestAir @JetBlue @Delta @VirginAmerica,,"1,02648065281909E+018",https://twitter.com/Jaime_ASantos/status/1026480652819091456,,,
Ben Ratner,BenMakesTV,2018-08-06 10:42,0,4,Credit where credit is due - @AmericanAir brought snacks and drinks to our gate when a 2-hour delay was evident. Still frustrating that I’ll be two hours late to my shoot. But free airport water! pic.twitter.com/4cdZqFV3mM,,@AmericanAir,,"1,02646359879994E+018",https://twitter.com/BenMakesTV/status/1026463598799937538,,,
Secret Flying,SecretFlying,2018-08-06 09:00,3,3,"Non-stop from Toronto, Canada to Los Angeles, USA for only $374 CAD roundtrip with @AmericanAir . https://www. secretflying.com/posts/toronto- canada-to-los-angeles-usa-for-only-370-cad-roundtrip/ … pic.twitter.com/2rLCjl1cgY",,@AmericanAir,,"1,02643796754664E+018",https://twitter.com/SecretFlying/status/1026437967546642432,,,
Jason Borrelli,Jason_Borrelli,2018-08-06 08:35,0,11,". @AmericanAir , don’t worry, I’ve got your back. Nate, there was a time that trip would have taken roughly a week by horse ... count your blessings. #CardinalCaliber #PositiveAttitude",,@AmericanAir,#CardinalCaliber #PositiveAttitude,"1,02643159149988E+018",https://twitter.com/Jason_Borrelli/status/1026431591499882496,,,
Doug Dunbar,cbs11doug,2018-08-06 08:26,2,55,"A blessed weekend getting mom home from @umichmedicine Home care set up. Chemo continues next week. It’s never easy leaving, but she’s #Ingestrong and battle tested. Until next visit mom...love u. #cancersucks #wefight #gloveson TY @AmericanAir #ontime @DTWeetin @DFWAirport pic.twitter.com/7sYVXcDiEs",,@umichmedicine @AmericanAir @DTWeetin @DFWAirport,#Ingestrong #cancersucks #wefight #gloveson #ontime,"1,02642938901631E+018",https://twitter.com/cbs11doug/status/1026429389016313856,,,
Barbara Lennie,Barbara_Lennie,2018-08-06 07:40,2,8,". @AmericanAir last time I flight whit you. For sure. TOW days of delate in our trip. Unefficient, unqualified and disrespectful staff.",,@AmericanAir,,"1,02641772255554E+018",https://twitter.com/Barbara_Lennie/status/1026417722555543552,,,
Jonathan Adcock,jonathanadcock,2018-08-06 01:07,0,11,Haiti was awesome. @AmericanAir was not. pic.twitter.com/IUAQBdUMEX,,@AmericanAir,,"1,02631887676897E+018",https://twitter.com/jonathanadcock/status/1026318876768968704,,,
Olivia ԅ( ͒ ۝ ͒ )ᕤ,leafypeachy,2018-08-05 23:18,1,9,. @AmericanAir FREE ME,,@AmericanAir,,"1,02629128953551E+018",https://twitter.com/leafypeachy/status/1026291289535512579,,,
Katie Prejean McGrady,KatiePrejean,2018-08-05 21:50,0,12,Landed. Stuck without a gate. We have connections to make @AmericanAir - please park this plane 2543,,@AmericanAir,,"1,02626916302163E+018",https://twitter.com/KatiePrejean/status/1026269163021631488,,,
Umi Javed,dopeey420,2018-08-05 20:52,6,41,I love how everything with @AmericanAir is always a “miscommunication”...Time for you to work on fixing your communication issues American Airlines and stop making your PAYING customers suffer for your subpar customer service.,,@AmericanAir,,"1,0262547530163E+018",https://twitter.com/dopeey420/status/1026254753016295424,,,
Secret Flying,SecretFlying,2018-08-05 20:34,13,39,"New York to Havana, Cuba for only $272 roundtrip with @AmericanAir . https://www. secretflying.com/posts/new-york -havana-cuba-194-roundtrip/ … pic.twitter.com/6oAHLeHd3r",,@AmericanAir,,"1,02625000676287E+018",https://twitter.com/SecretFlying/status/1026250006762868736,,,
Dallas Cowboys,dallascowboys,2018-08-05 19:59,251,536,LIVE: Dallas Cowboys 2018 Blue/White Scrimmage from #CowboysCamp presented by @americanair https://www. pscp.tv/w/bjd40zFlVmpZ RGVOZGVLTE98MVJER2xXWVh3WG1LTCE7jXweKQloBZO8kx7HPvCONszgW0BPol7jEgnAHA3I …,,@americanair,#CowboysCamp,"1,02624131839202E+018",https://twitter.com/dallascowboys/status/1026241318392016896,,,
Will Dzombak,RealTaylorGang,2018-08-05 19:24,4,30,You guys don’t know how to treat anyone — even the folks with status who have repeatedly used your service you treat like shit @AmericanAir #boycott,,@AmericanAir,#boycott,"1,02623245775716E+018",https://twitter.com/RealTaylorGang/status/1026232457757159426,,,
Will Dzombak,RealTaylorGang,2018-08-05 19:22,5,46,Everyone complains i know but you guys are truly the worst @AmericanAir — worst customer service and even more rude agents !,,@AmericanAir,,"1,02623190765317E+018",https://twitter.com/RealTaylorGang/status/1026231907653169153,,,
Kristen Kurtis,kristenkurtis,2018-08-05 19:15,2,64,"I was supposed to be home at 7 tonight but you can thank @AmericanAir and @ATLairport for my absence on @wxpnfm ’s @xpnmorningshow tomorrow, and I am thanking @somevelvetblog for filling in for me last second. Also, @DJRobertDrake is in for Bob. Have fun, you two.",,@AmericanAir @ATLairport @wxpnfm @xpnmorningshow @somevelvetblog @DJRobertDrake,,"1,02623023185682E+018",https://twitter.com/kristenkurtis/status/1026230231856816130,,,
Anna Horford,AnnaHorford,2018-08-05 17:37,8,100,I never want to fly @AmericanAir again. Three delays in a row because of “crew issues.” This is absolutely ridiculous.,,@AmericanAir,,"1,02620558449494E+018",https://twitter.com/AnnaHorford/status/1026205584494940161,,,
The Hyperspace,TheHyyyype,2018-08-05 17:29,0,135,ask them if they know about bofa,,,,"1,02620363296492E+018",https://twitter.com/TheHyyyype/status/1026203632964915200,,,
cory,_coryrichardson,2018-08-05 16:54,4,264,what if the pilot gets there and he’s like sorry guys i just got in a car wreck but i’m ready to fly the plane now,,,,"1,02619480994027E+018",https://twitter.com/_coryrichardson/status/1026194809940271109,,,
Max Kingsley-Jones,MaxK_J,2018-08-05 16:41,6,21,Long Beach's finest (pic http:// boeingimages.com ) #FlyDCJets #DC10 @united @AmericanAir pic.twitter.com/TNagDvuBM2,,@united @AmericanAir,#FlyDCJets #DC10,"1,02619148504403E+018",https://twitter.com/MaxK_J/status/1026191485044027393,,,
Travel Noire,TravelNoire,2018-08-05 16:00,11,18,Did you hear the news? @AmericanAir will no longer be charging for carry-on bags. http:// bit.ly/2mXTmfu pic.twitter.com/6L9Izvtgj7,,@AmericanAir,,"1,02618113187458E+018",https://twitter.com/TravelNoire/status/1026181131874578435,,,
viking,NOTVIKING,2018-08-05 15:33,0,74,unacceptable just run it,,,,"1,02617443893978E+018",https://twitter.com/NOTVIKING/status/1026174438939783168,,,
Eddy Burback,eddyburback,2018-08-05 15:31,0,178,sorry bro im at a long red hold tf up,,,,"1,0261738588464E+018",https://twitter.com/eddyburback/status/1026173858846400512,,,
viking,NOTVIKING,2018-08-05 15:27,21,903,hey @AmericanAir we boarded our plane an hour ago and haven’t left and they just now told us our pilot isn’t even at the airport he’s stuck in traffic can you explain this please,,@AmericanAir,,"1,026172770043E+018",https://twitter.com/NOTVIKING/status/1026172770042998784,,,
Zoe Keating,zoecello,2018-08-05 12:36,18,41,Can you tell us what happened here @AmericanAir ? Do cellists need to stay way from your airline? American Airlines kicks a cellist and her cello off a flight: https:// chicago.cbslocal.com/2018/08/04/ame rican-airlines-musician-cello/ …,,@AmericanAir,,"1,02612984412238E+018",https://twitter.com/zoecello/status/1026129844122382336,,,
Jim Roberts,nycjim,2018-08-05 12:27,9,29,The CEOs of @Delta and @AmericanAir both say they frequently fly standard coach. “I feel what our customers experience.” lol. https://www. wsj.com/articles/when- airline-ceos-try-the-cheap-seats-1532441990?mod=searchresults&page=1&pos=7 … pic.twitter.com/5UBhIcZa5y,,@Delta @AmericanAir,,"1,02612751338536E+018",https://twitter.com/nycjim/status/1026127513385357312,,,
trey wingo,wingoz,2018-08-05 11:42,21,1111,"Like an idiot, left my IPad on the plane in my flight into Canton, figured it was gone forever. When I checked in with @AmericanAir for the flight home.. thy had it there waiting for me. Thanks @AmericanAir for covering my stupidity",,@AmericanAir @AmericanAir,,"1,02611617616486E+018",https://twitter.com/wingoz/status/1026116176164859907,,,
Japan Film Festival,JapanFilmFestLA,2018-08-05 10:52,42,51,Thank you @AmericanAir @SapporoBeer @AstekInc @AmnetUSA @Hillersden @demitasse #TOTO #demitasse #quicktrophy for sponsoring the 2018 Japan Film Festival Los Angeles! And the shout to to our collaborator Nisei Week. Let’s do this! #losangeles #niseiweek #filmfestival pic.twitter.com/O3MZSfCdXO,,@AmericanAir @SapporoBeer @AstekInc @AmnetUSA @Hillersden @demitasse,#TOTO #demitasse #quicktrophy #losangeles #niseiweek #filmfestival,"1,02610360726171E+018",https://twitter.com/JapanFilmFestLA/status/1026103607261708289,,,
John Amaechi OBE,JohnAmaechi,2018-08-05 09:47,2,100,"Many thanks to all those that sent well-wishes, I am without gall-bladder, have four more new scars (laparoscopic surgery) & a sore belly, but otherwise recovering really well. Flying home on Monday (& happy to report that @AmericanAir has waived change & flight fees!) pic.twitter.com/I0c445mu96",,@AmericanAir,,"1,02608718787856E+018",https://twitter.com/JohnAmaechi/status/1026087187878559744,,,
Airforceproud95,Airforceproud95,2018-08-05 02:32,5,101,Accurate. I’ve said the quote in the middle at least 10 times to people.,,,,"1,02597794224403E+018",https://twitter.com/Airforceproud95/status/1025977942244028416,,,
Tim MacMahon,espn_macmahon,2018-08-04 22:19,1,43,I think hitchhiking is faster and more reliable than @AmericanAir .,,@AmericanAir,,"1,02591411681944E+018",https://twitter.com/espn_macmahon/status/1025914116819439621,,,
Kim Roberts,kimipoo13,2018-08-04 21:29,2,4,So @AmericanAir you lost my business. You basically said to bad so sad in regard to it taking us 24 hours to get to Las Vegas on 7/23. We missed a whole day out of our vacation. PSA- do not fly American people,,@AmericanAir,,"1,02590162330081E+018",https://twitter.com/kimipoo13/status/1025901623300812801,,,
Grady Brannan,gradybrannan,2018-08-04 20:29,0,43,"As if things couldn’t get worse, after cancelling my first direct flight of the day and then changing my flight 3 times, then redirecting me to a different airport an hour away from SF, you guys DELAYED ME AGAIN!!! @AmericanAir this insane, I’ve been waiting 6hrs for a 2hr flight",,@AmericanAir,,"1,02588654898465E+018",https://twitter.com/gradybrannan/status/1025886548984651776,,,
Quentin Goodin,quentingoodin,2018-08-04 18:49,1,52,"Just so everybody knows, @AmericanAir is the WORSE.",,@AmericanAir,,"1,02586141429091E+018",https://twitter.com/quentingoodin/status/1025861414290907141,,,
reVolver,revolveraudio,2018-08-04 18:33,6,12,Meet a Latina pilot who shares how she persevered to live her dream of becoming the first and youngest *Latina Airline Captain*. The sky’s not the limit for Captain Linda Pauwels! Listen! http:// bit.ly/2n4Ya2Q #StoriesBeyondTheHeadlines @TereRodriguezTV @AmericanAir pic.twitter.com/66qjHvik6p,,@TereRodriguezTV @AmericanAir,#StoriesBeyondTheHeadlines,"1,02585731276072E+018",https://twitter.com/revolveraudio/status/1025857312760717312,,,
Justin Michaels,JMichaelsNews,2018-08-04 17:49,5,29,"Mother Nature was showing off again last night on approach into #PHL . Truly beautiful #sunset at 20,000 feet on @AmericanAir from #SFO . #ItsAmazingOutThere pic.twitter.com/DK0jblfCj7",,@AmericanAir,#PHL #sunset #SFO #ItsAmazingOutThere,"1,02584617476547E+018",https://twitter.com/JMichaelsNews/status/1025846174765469696,,,
Pete Turner,PeteATurner,2018-08-04 17:13,2,11,"When I fly, I fly on airlines that help me. Airlines like @AmericanAir and @united apparently like to say,""No"" & lean on policy instead of getting things right. I don't fly American or United because I know, from their actions, they are more focused on policy than the customer.",,@AmericanAir @united,,"1,02583725109837E+018",https://twitter.com/PeteATurner/status/1025837251098365952,,,
Hayes Brown,HayesBrown,2018-08-04 16:29,0,12,Whewwwww @AmericanAir has a lot of angry journalists trying to get back to NYC from Detroit today. I went from getting back at 4 to getting back at midnight...hopefully. And I’m one of the lucky ones.,,@AmericanAir,,"1,02582603984141E+018",https://twitter.com/HayesBrown/status/1025826039841411072,,,
kevin shafer,shafermedia,2018-08-04 13:57,1,5,Jackson MS. to Tampa by car 14 hours. DC to Tampa by car 14 hours Getting to Tampa from either of those places by @AmericanAir 48 hours and told learn to live with it by their customer service agent.,,@AmericanAir,,"1,02578787566377E+018",https://twitter.com/shafermedia/status/1025787875663769602,,,
Drew Fougere,drewfougere09,2018-08-04 11:19,4,11,"When @AmericanAir cancels your flight in the wee hours of the morning and refuses to let you contact them<<<<<<< Worst customer service ever. Compensate us, buy me tickets to the Red Sox-Yankees game tonight since you want us to stay in Boston so badly.",,@AmericanAir,,"1,02574810457282E+018",https://twitter.com/drewfougere09/status/1025748104572821504,,,
Jason M. Shepard,jasonmshepard,2018-08-04 11:01,1,11,LAX -> DCA @AmericanAir and 5 hours of luxurious non digital time to read and think about @AEJMC @AEJMC_LAWP Wed panel on free speech and extremism in Trump era #aejmc18 pic.twitter.com/nygDTA9M2F – at American Airlines,,@AmericanAir @AEJMC @AEJMC_LAWP,#aejmc18,"1,02574342692959E+018",https://twitter.com/jasonmshepard/status/1025743426929586176,,,
JT Hiquet,JayTizzle19,2018-08-04 10:54,2,8,Who cancels a 5:45 am flight 7 hrs before it takes off? Now i’m rerouted to 2 more stops that increased my travel time 4 hours on an already extensive flight from SFO to Munich. And get to my desired (international) location a day late. Terrible customer support too @AmericanAir,,@AmericanAir,,"1,02574170838901E+018",https://twitter.com/JayTizzle19/status/1025741708389011456,,,
Chad and Kisstopher,TheMusicks,2018-08-04 10:16,3,44,"You could release your stats for lost/destroyed mobility aids. I know airlines petitioned to have that law delayed, but it wouldn’t be illegal to start reporting early.",,,,"1,02573216984149E+018",https://twitter.com/TheMusicks/status/1025732169841487872,,,
Airlines for America,AirlinesDotOrg,2018-08-04 10:00,6,27,"More than 2.3 million passengers fly on U.S. airlines daily, and @AmericanAir Customer Care Agent Ryla loves using her skills to help them: “I speak three different languages, so if there’s a day when I can utilize that... it’s a great day.” #TheFlyLife pic.twitter.com/dXGlA6JwZo",,@AmericanAir,#TheFlyLife,"1,02572806299273E+018",https://twitter.com/AirlinesDotOrg/status/1025728062992732161,,,
Secret Flying,SecretFlying,2018-08-04 09:20,25,55,"Atlanta to Havana, Cuba for only $176 roundtrip with @AmericanAir . https://www. secretflying.com/posts/non-stop -atlanta-havana-cuba-380-roundtrip/ … pic.twitter.com/pv4nmRtzxR",,@AmericanAir,,"1,02571806328979E+018",https://twitter.com/SecretFlying/status/1025718063289786368,,,
Danny Martinez,Daniel_M_20,2018-08-04 07:01,1,4,Hey @AmericanAir you ruined my best bud’s first flight experience. I don’t like y’all. #allnighters https:// twitter.com/SterlingOtting /status/1025682604899684352 …,,@AmericanAir,#allnighters,"1,02568313382658E+018",https://twitter.com/Daniel_M_20/status/1025683133826584577,,,
Sterling,SterlingOtting,2018-08-04 06:59,0,19,I wanna thank @AmericanAir for the cancelled flight and an all nighter and hope the pilot actually shows up next time.,,@AmericanAir,,"1,02568260489968E+018",https://twitter.com/SterlingOtting/status/1025682604899684352,,,
Dan S #SavetheACA,Dsquared75,2018-08-04 06:52,7,8,Maybe Congress needs to pass @SenDuckworth legislation to strengthen the Air Carrier Access Act so airlines get the message about handling mobility equipment responsibly,,@SenDuckworth,,"1,02568075636918E+018",https://twitter.com/Dsquared75/status/1025680756369182720,,,
Jonathan Knight-Rodr,JonathanRKnight,2018-08-04 04:22,30,368,Thank you Deborah Fritts @AmericanAir for the amazing booking experience tonight. Customer service at its finest.,,@AmericanAir,,"1,02564320452644E+018",https://twitter.com/JonathanRKnight/status/1025643204526440448,,,
Bhen [V/A],BhenVilla,2018-08-04 00:52,1,15,Maybe not best response to The Kevin Mitnick,,,,"1,02559018531088E+018",https://twitter.com/BhenVilla/status/1025590185310875648,,,
TENNIS.com,Tennis,2018-08-04 00:33,9,52,Sloane Stephens graces the cover of @AmericanAir 's American Way magazine for @inkglobal . PHOTOS: http:// bsltnns.co/rvEeIF pic.twitter.com/ptZqbExLFj,,@AmericanAir @inkglobal,,"1,02558548700685E+018",https://twitter.com/Tennis/status/1025585487006851072,,,
Molly Cain,MollyCain,2018-08-04 00:05,0,12,Woe to the guy who stole @kevinmitnick ’s luggage...anybody who’s even remotely aware of hacking knows that is a BIG MISTAKE. pic.twitter.com/EyqgKq0hJN,,@kevinmitnick,,"1,02557844925415E+018",https://twitter.com/MollyCain/status/1025578449254146048,,,
Larry Trittschuh,larrytritt,2018-08-04 00:01,0,57,"Maybe not the best response to someone with 220,000 followers. LOL",,,,"1,02557742568463E+018",https://twitter.com/larrytritt/status/1025577425684627456,,,
Kevin Mitnick,kevinmitnick,2018-08-04 00:00,88,321,"If your luggage ever is stolen and the airline is @AmericanAir , never tell them you tracked the thief who was ripping off customer bags from the airport because they will deny your claim. It's better to keep your mouth shut and just file a claim. Lessons learned.",,@AmericanAir,,"1,02557709649882E+018",https://twitter.com/kevinmitnick/status/1025577096498823168,,,
